"co_ocupacao","ds_ocupacao","co_cbo","tp_escolaridade","st_restricao_idade"
978,"VENDEDOR PRACISTA","354145","4","18"
979,"COMPRADOR","354205","4","18"
980,"SUPERVISOR DE COMPRAS","354210","4","18"
981,"ANALISTA DE EXPORTACAO E IMPORTACAO","354305","5","18"
982,"LEILOEIRO","354405","4","25"
983,"AVALIADOR DE IMOVEIS","354410","3","18"
839,"TECNICO AGRICOLA","321105","4","14"
985,"CORRETOR DE SEGUROS","354505","4","18"
986,"CORRETOR DE IMOVEIS","354605","4","18"
987,"REPRESENTANTE COMERCIAL AUTONOMO","354705","4","18"
988,"TECNICO EM TURISMO","354805","4","18"
989,"OPERADOR DE TURISMO","354810","4","18"
990,"AGENTE DE VIAGEM","354815","4","18"
991,"ORGANIZADOR DE EVENTO","354820","4","18"
992,"AUXILIAR DE BIBLIOTECA","371105","4","18"
1725,"MECANICO MONTADOR DE MOTORES DE AERONAVES","725405","4","18"
995,"TECNICO EM MUSEOLOGIA","371210","4","18"
996,"TECNICO EM PROGRAMACAO VISUAL","371305","3","10"
997,"TECNICO GRAFICO","371310","3","10"
998,"RECREADOR DE ACANTONAMENTO","371405","4","18"
999,"RECREADOR","371410","4","18"
1000,"DIRETOR DE FOTOGRAFIA","372105","4","18"
1001,"ILUMINADOR (TELEVISAO)","372110","4","18"
1002,"OPERADOR DE CAMERA DE TELEVISAO","372115","4","18"
1003,"OPERADOR DE REDE DE TELEPROCESSAMENTO","372205","4","18"
1004,"RADIOTELEGRAFISTA","372210","4","18"
1005,"OPERADOR DE AUDIO DE CONTINUIDADE (RADIO)","373105","3","10"
1006,"OPERADOR DE CENTRAL DE RADIO","373110","3","10"
1007,"OPERADOR DE EXTERNA (RADIO)","373115","3","10"
1008,"OPERADOR DE GRAVACAO DE RADIO","373120","3","10"
1009,"OPERADOR DE TRANSMISSOR DE RADIO","373125","3","10"
1011,"TECNICO EM OPERACAO DE EQUIPAMENTO DE EXIBICAO DE TELEVISAO","373210","4","18"
1012,"TECNICO EM OPERACAO DE EQUIPAMENTOS DE TRANSMISSAO/RECEPCAO DE TELEVISAO","373215","4","18"
1013,"SUPERVISOR TECNICO OPERACIONAL DE SISTEMAS DE TELEVISAO E PRODUTORAS DE VIDEO","373220","4","16"
1014,"TECNICO EM GRAVACAO DE AUDIO","374105","4","16"
1015,"TECNICO EM INSTALACAO DE EQUIPAMENTOS DE AUDIO","374110","4","16"
1016,"TECNICO EM MASTERIZACAO DE AUDIO","374115","4","16"
1017,"PROJETISTA DE SOM","374120","4","16"
1018,"TECNICO EM SONORIZACAO","374125","4","16"
1019,"TECNICO EM MIXAGEM DE AUDIO","374130","4","16"
1020,"PROJETISTA DE SISTEMAS DE AUDIO","374135","4","16"
1021,"MICROFONISTA","374140","4","16"
1022,"CENOTECNICO (CINEMA,VIDEO,TELEVISAO,TEATRO E ESPETACULOS)","374205","3","10"
1023,"MAQUINISTA DE CINEMA E VIDEO","374210","3","10"
1024,"MAQUINISTA DE TEATRO E ESPETACULOS","374215","3","10"
1025,"OPERADOR DE PROJETOR CINEMATOGRAFICO","374305","4","16"
1026,"OPERADOR-MANTENEDOR DE PROJETOR CINEMATOGRAFICO","374310","4","16"
1027,"EDITOR DE TV E VIDEO","374405","4","16"
1028,"FINALIZADOR DE FILMES","374410","4","16"
1029,"FINALIZADOR DE VIDEO","374415","4","16"
1030,"MONTADOR DE FILMES","374420","4","16"
1031,"DESIGNER DE INTERIORES","375105","4","16"
1032,"DESIGNER DE VITRINES","375110","4","16"
1033,"VISUAL MERCHANDISER","375115","4","16"
1034,"DANCARINO TRADICIONAL","376105","1","10"
1035,"DANCARINO POPULAR","376110","1","10"
1036,"ACROBATA","376205","1","10"
1037,"ARTISTA AEREO","376210","1","10"
1038,"ARTISTA DE CIRCO (OUTROS)","376215","1","10"
1039,"CONTORCIONISTA","376220","1","10"
1040,"DOMADOR DE ANIMAIS (CIRCENSE)","376225","1","10"
1041,"EQUILIBRISTA","376230","1","10"
1042,"MAGICO","376235","1","10"
1043,"MALABARISTA","376240","1","10"
1044,"PALHACO","376245","1","10"
1045,"TITERITEIRO","376250","1","10"
1046,"TRAPEZISTA","376255","1","10"
1047,"APRESENTADOR DE EVENTOS","376305","4","16"
1049,"APRESENTADOR DE PROGRAMAS DE RADIO","376315","4","14"
1050,"APRESENTADOR DE PROGRAMAS DE TELEVISAO","376320","4","14"
1051,"APRESENTADOR DE CIRCO","376325","1","7"
1052,"MODELO ARTISTICO","376405","4","14"
1053,"MODELO DE MODAS","376410","4","16"
1054,"MODELO PUBLICITARIO","376415","4","16"
1055,"ATLETA PROFISSIONAL (OUTRAS MODALIDADES)","377105","1","14"
1056,"ATLETA PROFISSIONAL DE FUTEBOL","377110","1","14"
1057,"ATLETA PROFISSIONAL DE GOLFE","377115","1","14"
1058,"ATLETA PROFISSIONAL DE LUTA","377120","1","14"
1059,"ATLETA PROFISSIONAL DE TENIS","377125","1","14"
1060,"JOQUEI","377130","1","14"
1061,"PILOTO DE COMPETICAO AUTOMOBILISTICA","377135","4","10"
1062,"PROFISSIONAL DE ATLETISMO","377140","1","14"
1063,"PUGILISTA","377145","1","14"
1064,"ARBITRO DESPORTIVO","377205","3","16"
1065,"ARBITRO DE ATLETISMO","377210","3","16"
1066,"ARBITRO DE BASQUETE","377215","3","16"
1067,"ARBITRO DE FUTEBOL","377220","3","16"
1068,"ARBITRO DE FUTEBOL DE SALAO","377225","3","16"
1069,"ARBITRO DE JUDO","377230","3","16"
1070,"ARBITRO DE KARATE","377235","3","16"
1072,"ARBITRO DE VOLEI","377245","3","16"
1073,"CRONOANALISTA","391105","4","16"
1074,"CRONOMETRISTA","391110","4","16"
1075,"CONTROLADOR DE ENTRADA E SAIDA","391115","4","16"
1076,"PLANEJISTA","391120","4","16"
1077,"TECNICO DE PLANEJAMENTO DE PRODUCAO","391125","4","16"
1078,"TECNICO DE PLANEJAMENTO E PROGRAMACAO DA MANUTENCAO","391130","4","16"
1079,"TECNICO DE MATERIA-PRIMA E MATERIAL","391135","4","16"
1080,"INSPETOR DE QUALIDADE","391205","4","16"
1081,"TECNICO DE GARANTIA DA QUALIDADE","391210","4","16"
1082,"OPERADOR DE INSPECAO DE QUALIDADE","391215","4","16"
1083,"TECNICO DE PAINEL DE CONTROLE","391220","4","16"
1084,"ESCOLHEDOR DE PAPEL","391225","4","16"
1086,"TECNICO DE APOIO EM PESQUISA E DESENVOLVIMENTO (EXCETO AGROPECUARIO E FLORESTAL)","395105","4","16"
1087,"TECNICO DE APOIO EM PESQUISA E DESENVOLVIMENTO AGROPECUARIO FLORESTAL","395110","4","16"
1088,"SUPERVISOR ADMINISTRATIVO","410105","4","16"
1089,"SUPERVISOR DE ALMOXARIFADO","410205","5","18"
1090,"SUPERVISOR DE CAMBIO","410210","5","18"
1091,"SUPERVISOR DE CONTAS A PAGAR","410215","5","18"
1092,"SUPERVISOR DE CONTROLE PATRIMONIAL","410220","5","18"
1093,"SUPERVISOR DE CREDITO E COBRANCA","410225","5","18"
1094,"SUPERVISOR DE ORCAMENTO","410230","5","18"
1095,"SUPERVISOR DE TESOURARIA","410235","5","18"
1096,"AUXILIAR DE ESCRITORIO,EM GERAL","411005","4","16"
1098,"ATENDENTE DE JUDICIARIO","411015","4","14"
1099,"AUXILIAR DE JUDICIARIO","411020","4","14"
1100,"AUXILIAR DE CARTORIO","411025","4","14"
1101,"AUXILIAR DE PESSOAL","411030","4","14"
1102,"AUXILIAR DE ESTATISTICA","411035","4","14"
1103,"AUXILIAR DE SEGUROS","411040","4","14"
1104,"AUXILIAR DE SERVICOS DE IMPORTACAO E EXPORTACAO","411045","4","14"
1105,"DATILOGRAFO","412105","4","14"
1106,"DIGITADOR","412110","4","14"
1108,"SUPERVISOR DE DIGITACAO E OPERACAO","412120","4","18"
1109,"CONTINUO","412205","3","10"
1110,"ANALISTA DE FOLHA DE PAGAMENTO","413105","4","18"
1111,"AUXILIAR DE CONTABILIDADE","413110","4","16"
1112,"AUXILIAR DE FATURAMENTO","413115","4","16"
1113,"ATENDENTE DE AGENCIA","413205","4","16"
1114,"CAIXA DE BANCO","413210","4","18"
1115,"COMPENSADOR DE BANCO","413215","4","18"
1116,"CONFERENTE DE SERVICOS BANCARIOS","413220","4","18"
1117,"ESCRITURARIO DE BANCO","413225","4","16"
1118,"OPERADOR DE COBRANCA BANCARIA","413230","4","18"
1119,"ALMOXARIFE","414105","4","16"
984,"AVALIADOR DE BENS MOVEIS","354415","3","18"
1120,"ARMAZENISTA","414110","4","16"
1121,"BALANCEIRO","414115","4","16"
1122,"APONTADOR DE MAO-DE-OBRA","414205","4","16"
1123,"APONTADOR DE PRODUCAO","414210","4","16"
1124,"CONFERENTE DE CARGA E DESCARGA","414215","4","16"
1125,"ARQUIVISTA DE DOCUMENTOS","415105","4","16"
1126,"CODIFICADOR DE DADOS","415115","4","16"
1127,"FITOTECARIO","415120","4","16"
1128,"KARDEXISTA","415125","4","16"
1130,"CARTEIRO","415205","4","16"
1131,"OPERADOR DE TRIAGEM E TRANSBORDO","415210","4","16"
1132,"SUPERVISOR DE CAIXAS E BILHETEIROS (EXCETO CAIXA DE BANCO)","420105","4","18"
1133,"SUPERVISOR DE COBRANCA","420110","4","18"
1134,"SUPERVISOR DE COLETADORES DE APOSTAS E DE JOGOS","420115","4","18"
1136,"SUPERVISOR DE RECEPCIONISTAS","420125","4","18"
1137,"SUPERVISOR DE TELEFONISTAS","420130","4","18"
1138,"SUPERVISOR DE TELEMARKETING E ATENDIMENTO","420135","4","18"
1139,"ATENDENTE COMERCIAL (AGENCIA POSTAL)","421105","3","16"
1140,"BILHETEIRO DE TRANSPORTES COLETIVOS","421110","3","16"
1141,"BILHETEIRO NO SERVICO DE DIVERSOES","421115","3","16"
1142,"EMISSOR DE PASSAGENS","421120","3","16"
1143,"OPERADOR DE CAIXA","421125","4","18"
1144,"RECEBEDOR DE APOSTAS (LOTERIA)","421205","4","18"
1145,"RECEBEDOR DE APOSTAS (TURFE)","421210","4","18"
1146,"COBRADOR EXTERNO","421305","4","18"
1147,"COBRADOR INTERNO","421310","4","18"
1148,"LOCALIZADOR (COBRADOR)","421315","4","18"
